Iniciando método de Jacobi 2D...
Iteración 0, max diff = 25.000000
Iteración 100, max diff = 0.239706
Iteración 200, max diff = 0.120432
Iteración 300, max diff = 0.080362
Iteración 400, max diff = 0.060289
Iteración 500, max diff = 0.048130
Iteración 600, max diff = 0.039909
Iteración 700, max diff = 0.033973
Iteración 800, max diff = 0.029479
Iteración 900, max diff = 0.025978
Iteración 1000, max diff = 0.023252
Iteración 1100, max diff = 0.021093
Iteración 1200, max diff = 0.019404
Iteración 1300, max diff = 0.018100
Iteración 1400, max diff = 0.017106
Iteración 1500, max diff = 0.016373
Iteración 1600, max diff = 0.015861
Iteración 1700, max diff = 0.015476
Iteración 1800, max diff = 0.015034
Iteración 1900, max diff = 0.014545
Iteración 2000, max diff = 0.014024
Iteración 2100, max diff = 0.013487
Iteración 2200, max diff = 0.012942
Iteración 2300, max diff = 0.012398
Iteración 2400, max diff = 0.011860
Iteración 2500, max diff = 0.011333
Iteración 2600, max diff = 0.010820
Iteración 2700, max diff = 0.010322
Iteración 2800, max diff = 0.009841
Iteración 2900, max diff = 0.009378
Iteración 3000, max diff = 0.008934
Iteración 3100, max diff = 0.008507
Iteración 3200, max diff = 0.008099
Iteración 3300, max diff = 0.007709
Iteración 3400, max diff = 0.007336
Iteración 3500, max diff = 0.006980
Iteración 3600, max diff = 0.006641
Iteración 3700, max diff = 0.006317
Iteración 3800, max diff = 0.006009
Iteración 3900, max diff = 0.005716
Iteración 4000, max diff = 0.005436
Iteración 4100, max diff = 0.005170
Iteración 4200, max diff = 0.004917
Iteración 4300, max diff = 0.004676
Iteración 4400, max diff = 0.004447
Iteración 4500, max diff = 0.004229
Iteración 4600, max diff = 0.004022
Iteración 4700, max diff = 0.003824
Iteración 4800, max diff = 0.003637
Iteración 4900, max diff = 0.003458
Iteración 5000, max diff = 0.003288
Iteración 5100, max diff = 0.003127
Iteración 5200, max diff = 0.002974
Iteración 5300, max diff = 0.002828
Iteración 5400, max diff = 0.002689
Iteración 5500, max diff = 0.002557
Iteración 5600, max diff = 0.002431
Iteración 5700, max diff = 0.002312
Iteración 5800, max diff = 0.002198
Iteración 5900, max diff = 0.002090
Iteración 6000, max diff = 0.001988
Iteración 6100, max diff = 0.001890
Iteración 6200, max diff = 0.001797
Iteración 6300, max diff = 0.001709
Iteración 6400, max diff = 0.001625
Iteración 6500, max diff = 0.001545
Iteración 6600, max diff = 0.001469
Iteración 6700, max diff = 0.001397
Iteración 6800, max diff = 0.001329
Iteración 6900, max diff = 0.001263
Iteración 7000, max diff = 0.001201
Iteración 7100, max diff = 0.001142
Iteración 7200, max diff = 0.001086
Iteración 7300, max diff = 0.001033
Iteración 7400, max diff = 0.000982
Iteración 7500, max diff = 0.000934
Iteración 7600, max diff = 0.000888
Iteración 7700, max diff = 0.000844
Iteración 7800, max diff = 0.000803
Iteración 7900, max diff = 0.000764
Iteración 8000, max diff = 0.000726
Iteración 8100, max diff = 0.000690
Iteración 8200, max diff = 0.000656
Iteración 8300, max diff = 0.000624
Iteración 8400, max diff = 0.000594
Iteración 8500, max diff = 0.000564
Iteración 8600, max diff = 0.000537
Iteración 8700, max diff = 0.000510
Iteración 8800, max diff = 0.000485
Iteración 8900, max diff = 0.000461
Iteración 9000, max diff = 0.000439
Iteración 9100, max diff = 0.000417
Iteración 9200, max diff = 0.000397
Iteración 9300, max diff = 0.000377
Iteración 9400, max diff = 0.000359
Iteración 9500, max diff = 0.000341
Iteración 9600, max diff = 0.000324
Iteración 9700, max diff = 0.000308
Iteración 9800, max diff = 0.000293
Iteración 9900, max diff = 0.000279
Método completado.
